Tipo Reporte;Operador;Aeródromo;Data;Hora;UF;Cidade;Fase de Operação;Efeito no Voo;Colisão;;year;month
CONTROLADOR DE TRÁFEGO AÉREO;FAB;SBRJ;2023-08-06;14:50:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;Não;detalhar?op===AUUhmRVxmWTZlRSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;GOL;SBRJ;2023-08-06;19:20:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;Não;detalhar?op===AUUhmRVxmWTZlRSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;GOL;SBRJ;2023-08-06;21:04:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;Não;detalhar?op===AUUhmRVxmWTZlRSVXTWJVU&acao=detalhar;2023;8
OPERADOR;AERO RIO TAXI AEREO;SBJR;2023-08-06;20:42:00;RJ;Rio de Janeiro;;;Não;detalhar?op===AUUhmRVxmWXVGbSNUTWJVU&acao=detalhar;2023;8
ADMINISTRAÇÃO AEROPORTUÁRIA;;SBKP;2023-08-06;15:56:00;SP;Campinas;Outra;Pouso;Não;detalhar?op===AUUhmRVxGczdlRSVXTWJVU&acao=detalhar;2023;8
ADMINISTRAÇÃO AEROPORTUÁRIA;;SBKP;2023-08-06;12:56:00;SP;Campinas;Outra;Outros;Não;detalhar?op===AUUhmRVxGcz1UMSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;MR TOP FLY;SBJR;2023-08-05;10:12:00;RJ;Rio de Janeiro;Aproximação f...;Nenhum;Não;detalhar?op===AUUhmRVxmWLZlRSVXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;blmj;SBMT;2023-08-05;08:24:00;SP;Sao Paulo;Aproximação f...;Desvio manual;Não;detalhar?op===AUUhmRVxmWLZlRRpXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;nil;SBRJ;2023-08-05;21:58:00;RJ;Rio de Janeiro;Outra;Outros;Não;detalhar?op===AUUhmRVxmWPVGbSNUTWJVU&acao=detalhar;2023;8
OUTRO;SAFE Escola de Aviação;SBSJ;2023-08-05;00:00:00;SP;Sao Jose dos Campos;Outra;;;detalhar?op===AUUhmRVxmWTVGbSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;;SBCY;2023-08-04;00:00:00;MT;Chapada dos Guimaraes;Outra;;Não;detalhar?op===AUUhmRVxmWLZlRSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBRJ;2023-08-04;14:28:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;Não;detalhar?op===AUUhmRVxmWPFGbSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;nil;SBRJ;2023-08-04;23:57:00;RJ;Rio de Janeiro;Outra;Outros;Não;detalhar?op===AUUhmRVxmWPFGbSVXTWJVU&acao=detalhar;2023;8
OUTRO;THIAGO LUIZ DA SILVA MIRANDA;TMA SBWY (Cuiabá);2023-08-04;11:58:00;MT;Chapada dos Guimaraes;Outra,Descida;Outros;;detalhar?op===AUUhmRVxmWTFGbRpXTWJVU&acao=detalhar;2023;8
OUTRO;;SBCY;2023-08-04;11:58:00;MT;Cuiaba;Outra;;Não;detalhar?op===AUUhmRVxGc3dlRSVXTWJVU&acao=detalhar;2023;8
OUTRO;;SBJH;2023-08-03;11:30:00;SP;Sao Roque;Outra;;Não;detalhar?op===AUUhmRVxmWHVGbSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBBI;2023-08-02;13:10:00;PR;Curitiba;Decolagem;Outros;Não;detalhar?op===AUUhmRVxmWHZlRSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;;SBMT;2023-08-02;19:20:00;SP;Sao Paulo;Outra;Nenhum;Não;detalhar?op===AUUhmRVxmWHFGbSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;AZU4155;SBGL;2023-08-02;00:00:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;Não;detalhar?op===AUUhmRVxmWHFGbSNVTWJVU&acao=detalhar;2023;8
